,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
aback,0.0,0.0,0.0,0.0,0.0,0.0,0.005571843675532698,0.0,0.0,0.0,0.0,0.0,0.0,0.003303099839633847,0.0,0.0,0.0
abandon,0.0018188334609715695,0.0026994558586830785,0.008775846174054188,0.0,0.0,0.0,0.0,0.0,0.0,0.009567792672122972,0.0,0.010205202077153985,0.0,0.005713656803369457,0.0010232423031204712,0.0,0.0
abandonment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008446041047921503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003303099839633847,0.001577446973644208,0.0,0.0
abate,0.0,0.004765929984231252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abatement,0.0,0.0,0.0,0.0,0.0,0.0016251701132853076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abbey,0.0,0.0,0.0,0.0,0.0,0.003250340226570615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abbreviate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001260943394906534,0.0,0.0,0.0
abby,0.0,0.0,0.0,0.0,0.0,0.04712993328527392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abe,0.0,0.0,0.0,0.0,0.0,0.0014190695533345293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002551174469070008,0.0
abels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029216978767295813,0.0
aberration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001260943394906534,0.0,0.0,0.0
abhor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073749323835953055,0.0,0.0026220842451719906,0.0,0.0,0.0,0.0,0.0
abhorrence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006973742382700688,0.0,0.0,0.0,0.0
abide,0.0,0.005797007786348329,0.0,0.0,0.0,0.0019767650452328575,0.0,0.003044339002475129,0.0,0.0,0.0,0.0,0.0,0.0023006103853611473,0.001098692460450928,0.0,0.006264438780337664
abideth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005005722630985288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ability,0.0,0.008323050096306281,0.0,0.0,0.0,0.0014190695533345293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abject,0.0,0.0,0.0,0.0,0.0,0.0025456777577911897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003950300990655432,0.0,0.002288283927625523,0.0
abjectly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001260943394906534,0.0,0.0,0.0
abjectness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037828301847196016,0.0,0.0,0.0
abjure,0.0028039432398590234,0.0,0.0,0.0,0.0,0.0014190695533345293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablaze,0.0,0.0041615250481531404,0.0,0.0,0.0,0.0028381391066690585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
able,0.0025135508060703145,0.011191600982400466,0.006063923855062559,0.011752061743905506,0.00573951606855755,0.008904718035174024,0.014984374822049335,0.029386735904595743,0.0,0.0,0.0031202635836386134,0.012927893941969503,0.0,0.012831051511487038,0.006363348854918932,0.0022869602180247174,0.0
abler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008446041047921503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablush,0.0,0.004765929984231252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
