Variation scores for k=20:
WORD, W2V/PPMI, W2V/PCA, PPMI/PCA
christmas 0.95 1.0 0.4
present 1.0 1.0 0.8
light 0.9 0.85 0.65
tree 1.0 1.0 0.25
snow 1.0 0.95 0.25
bell 1.0 1.0 0.09999999999999998
santa 0.9 0.9 0.25
sleigh 0.95 1.0 0.30000000000000004
reindeer 0.85 0.9 0.19999999999999996
angel 1.0 1.0 0.19999999999999996
chimney 0.95 1.0 0.4
turkey 0.9 1.0 0.4
joy 0.9 0.95 0.30000000000000004
family 1.0 1.0 0.19999999999999996
festive 1.0 1.0 0.25
candle 1.0 0.95 0.95
beard 1.0 1.0 0.19999999999999996
santa 0.9 0.9 0.25
dinner 1.0 1.0 0.65
mass 1.0 1.0 0.19999999999999996
pudding 1.0 1.0 0.30000000000000004
holly 1.0 1.0 0.19999999999999996
carol 1.0 0.9 0.85
cold 0.95 0.95 0.30000000000000004
gift 0.95 0.95 0.30000000000000004


Variation scores for k=10:
WORD, W2V/PPMI, W2V/PCA, PPMI/PCA
christmas 1.0 1.0 0.5
present 1.0 1.0 1.0
light 1.0 1.0 0.6
tree 1.0 1.0 0.30000000000000004
snow 1.0 1.0 0.09999999999999998
bell 1.0 1.0 0.19999999999999996
santa 0.9 0.9 0.30000000000000004
sleigh 0.9 1.0 0.4
reindeer 1.0 1.0 0.09999999999999998
angel 1.0 1.0 0.19999999999999996
chimney 1.0 1.0 0.30000000000000004
turkey 1.0 1.0 0.4
joy 1.0 0.9 0.30000000000000004
family 1.0 1.0 0.4
festive 1.0 1.0 0.09999999999999998
candle 1.0 0.9 0.9
beard 1.0 1.0 0.30000000000000004
santa 0.9 0.9 0.30000000000000004
dinner 1.0 1.0 0.7
mass 1.0 1.0 0.19999999999999996
pudding 1.0 1.0 0.5
holly 1.0 1.0 0.30000000000000004
carol 1.0 0.9 0.9
cold 0.9 0.9 0.4
gift 1.0 1.0 0.6


